alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity,quality
9.2,0.053,0.26,0.9965,6.9,32.0,3.25,8.3,0.5099999904632568,180.0,0.32,6
9.55,0.058,0.18,0.99288,5.8,7.0,3.23,1.2,0.5799999833106995,108.0,0.28,4
10.4,0.052,0.29,0.99546,6.8,54.0,3.03,11.9,0.5799999833106995,160.0,0.26,6
12.5,0.024,0.33,0.9918,7.6,14.0,3.25,7.0,0.44999998807907104,130.0,0.48,7
10.0,0.043,0.49,0.9952,7.8,29.0,3.21,7.0,0.33000001311302185,149.0,0.49,5
12.3,0.039,0.33,0.9898,6.9,27.0,3.09,1.6,0.46000000834465027,98.0,0.19,7
13.3,0.031,0.32,0.99176,8.1,23.0,3.05,7.9,0.46000000834465027,118.0,0.4,7
12.5,0.026,0.32,0.9904,6.8,43.0,3.29,1.6,0.5400000214576721,147.0,0.23,6
10.6,0.046,0.29,0.99471,6.1,39.0,3.6,6.2,0.4399999976158142,151.0,0.15,6
10.2,0.036,0.35,0.99342,7.3,29.0,3.27,1.5,0.5099999904632568,108.0,0.16,6
8.7,0.05,0.27,0.9984,7.4,25.0,2.9,15.5,0.4300000071525574,135.0,0.16,7
9.5,0.051,0.31,0.997,7.5,24.0,3.19,11.7,0.4399999976158142,94.0,0.18,7
9.4,0.042,0.49,0.99855,8.2,58.0,3.1,13.6,0.5400000214576721,166.0,0.38,5
10.8,0.032,0.4,0.99629,7.4,13.0,3.01,11.9,0.46000000834465027,92.0,0.28,4
11.2,0.052,0.31,0.9923,8.1,50.0,3.03,1.7,0.41999998688697815,183.0,0.46,5
8.9,0.062,0.08,0.9972,6.8,26.0,3.37,9.7,0.46000000834465027,142.0,0.64,4
10.5,0.038,0.27,0.9933,6.2,41.0,3.49,1.7,0.7099999785423279,150.0,0.21,7
12.2,0.036,0.3,0.99122,6.7,27.0,3.12,5.3,0.46000000834465027,165.0,0.45,6
9.9,0.058,0.24,0.995,7.3,41.0,3.2,6.7,0.4099999964237213,166.0,0.4,6
9.5,0.05,0.45,0.9955,6.4,52.0,3.18,8.3,0.47999998927116394,196.0,0.27,5
8.6,0.039,0.3,0.9942,6.3,24.0,3.05,3.1,0.4300000071525574,115.0,0.28,5
11.0,0.031,0.36,0.9975,6.9,40.0,3.2,20.8,0.33000001311302185,139.0,0.24,6
10.0,0.044,0.22,0.99471,7.2,17.0,3.37,1.6,0.5299999713897705,101.0,0.2,5
9.7,0.028,0.38,0.993,6.2,36.0,3.47,1.5,0.5400000214576721,117.0,0.18,6
13.0,0.028,0.36,0.9925,8.1,29.0,3.01,8.2,0.3400000035762787,142.0,0.31,7
10.9,0.039,0.28,0.99469,6.7,29.0,3.11,10.2,0.44999998807907104,115.0,0.18,7
14.2,0.037,0.28,0.98779,6.4,31.0,3.12,1.6,0.4000000059604645,113.0,0.35,7
9.6,0.047,0.42,0.9937,5.8,38.5,3.25,4.4,0.5699999928474426,245.0,0.4,6
10.4,0.042,0.49,0.9945,6.4,49.0,3.34,6.4,0.4399999976158142,161.0,0.12,6
10.8,0.046,0.31,0.9939,7.0,29.0,3.26,6.0,0.5,108.0,0.21,6
8.9,0.036,0.62,0.9978,7.7,56.0,3.13,10.6,0.4399999976158142,153.0,0.32,6
12.4,0.033,0.16,0.99058,6.1,8.0,3.35,4.4,0.4699999988079071,109.0,1.1,4
10.2,0.055,0.36,0.9972,7.1,44.5,3.49,6.8,0.6399999856948853,234.0,0.3,6
9.8,0.048,0.16,0.99428,7.2,14.0,3.09,5.9,0.49000000953674316,125.0,0.47,5
9.4,0.065,0.43,0.99552,6.9,42.0,3.11,6.2,0.5299999713897705,178.0,0.4,5
12.6,0.029,0.3,0.99061,6.8,15.0,3.33,3.3,0.6299999952316284,80.0,0.32,7
10.9,0.031,0.27,0.9905,5.8,12.0,3.25,1.4,0.36000001430511475,77.0,0.2,7
9.7,0.047,0.34,0.9934,6.8,64.5,3.3,2.7,0.5799999833106995,218.5,0.24,6
12.1,0.028,0.34,0.9911,7.7,26.0,2.99,1.8,0.47999998927116394,168.0,0.27,7
9.7,0.041,0.56,0.99119,5.3,46.0,3.16,0.9,0.6200000047683716,141.0,0.23,5
11.4,0.031,0.3,0.9917,7.1,13.0,3.19,2.0,0.49000000953674316,128.0,0.26,5
12.1,0.042,0.35,0.9908,7.8,8.0,3.11,1.8,0.4099999964237213,167.0,0.34,6
13.0,0.03,0.4,0.98926,6.1,19.0,3.19,1.2,0.9599999785423279,84.0,0.15,6
10.6,0.05,0.49,0.9946,7.1,17.0,3.31,1.8,0.5799999833106995,128.0,0.64,4
9.2,0.052,0.39,0.99888,6.5,22.0,3.11,17.3,0.4699999988079071,126.0,0.24,6
11.3,0.04,0.32,0.99182,6.3,37.0,3.24,4.2,0.4300000071525574,117.0,0.17,6
9.3,0.045,0.55,0.99482,6.5,75.0,2.97,5.9,0.4000000059604645,162.0,0.15,5
9.0,0.052,0.32,0.9959,6.8,35.0,3.14,7.6,0.3799999952316284,143.0,0.31,5
9.0,0.062,0.3,0.99808,6.8,19.0,3.0,12.8,0.5199999809265137,171.0,0.18,7
9.4,0.051,0.22,0.99676,6.6,35.0,3.1,12.3,0.6700000166893005,146.0,0.24,5
10.0,0.028,0.3,0.99272,8.5,34.0,2.83,1.1,0.36000001430511475,95.0,0.18,4
8.8,0.06,0.17,0.99916,6.3,51.0,3.13,17.75,0.47999998927116394,190.0,0.32,6
8.6,0.057,0.39,0.9999,7.3,45.0,3.21,17.95,0.36000001430511475,149.0,0.24,5
9.6,0.052,0.44,0.9955,6.8,28.0,3.14,6.6,0.4099999964237213,156.0,0.34,5
10.5,0.054,0.41,0.9948,7.1,24.0,3.48,2.1,0.6200000047683716,166.0,0.2,6
9.4,0.053,0.28,0.99489,6.0,37.0,3.06,7.7,0.5,132.0,0.25,6
8.9,0.044,0.2,0.99862,5.7,41.0,3.22,16.0,0.46000000834465027,113.0,0.22,6
10.5,0.045,0.32,0.9972,6.9,62.0,3.22,16.4,0.41999998688697815,153.0,0.23,5
13.0,0.045,0.26,0.98952,6.6,19.0,3.24,2.7,0.47999998927116394,129.0,0.35,7
10.3,0.054,0.39,0.9941,7.5,23.0,3.27,1.9,0.44999998807907104,91.0,0.18,6
10.8,0.037,0.3,0.9939,7.0,31.0,3.24,6.1,0.5099999904632568,120.0,0.2,5
10.6,0.049,0.49,0.9952,7.9,33.0,3.18,5.2,0.4699999988079071,152.0,0.12,6
11.3,0.042,0.3,0.9911,7.3,31.0,3.05,2.5,0.5600000023841858,104.0,0.24,7
9.2,0.044,0.25,0.998,7.0,27.0,2.91,14.3,0.46000000834465027,149.0,0.16,6
10.9,0.031,0.29,0.99194,7.5,24.0,3.0,2.6,0.5400000214576721,98.0,0.23,6
9.0,0.044,0.74,0.9996,7.1,44.0,3.38,15.6,0.6700000166893005,176.0,0.18,6
10.9,0.038,0.34,0.99432,7.0,25.0,3.11,10.9,0.3400000035762787,84.0,0.26,6
9.9,0.045,0.35,0.992,5.5,14.0,3.34,1.1,0.6800000071525574,167.0,0.35,6
9.6,0.086,0.19,0.993,6.8,30.0,2.83,3.5,0.4399999976158142,130.0,0.31,5
11.5,0.044,0.24,0.9927,7.9,39.0,2.99,4.6,0.2800000011920929,159.0,0.22,6
10.6,0.047,0.29,0.99243,7.4,16.0,3.28,1.7,0.44999998807907104,100.0,0.2,6
12.5,0.043,0.29,0.9902,6.9,33.0,3.16,4.2,0.3100000023841858,114.0,0.26,6
10.6,0.038,0.49,0.9952,8.2,52.0,3.02,9.3,0.33000001311302185,163.0,0.24,6
11.1,0.039,0.32,0.99163,6.6,15.0,2.96,5.6,0.5199999809265137,68.0,0.25,6
12.1,0.03,0.26,0.98894,6.1,25.0,3.03,1.5,0.4099999964237213,101.0,0.28,6
12.2,0.039,0.39,0.9928,7.0,46.0,3.21,6.2,0.3499999940395355,163.0,0.46,7
9.7,0.048,0.25,0.9975,6.7,79.0,3.12,14.3,0.3700000047683716,149.0,0.18,5
10.8,0.037,0.28,0.9931,6.2,39.0,3.41,4.7,0.46000000834465027,133.0,0.17,7
10.2,0.044,0.29,0.99166,6.4,21.0,3.1,1.8,0.3799999952316284,115.0,0.15,5
9.6,0.094,0.3,0.997,6.8,23.0,3.09,11.8,0.4399999976158142,97.0,0.45,5
10.3,0.043,0.39,0.9918,5.6,17.0,3.23,1.1,0.5299999713897705,67.0,0.19,6
11.6,0.043,0.48,0.9938,9.0,11.0,2.9,6.6,0.3799999952316284,73.0,0.31,5
12.4,0.054,0.27,0.9914,5.8,30.0,3.53,2.6,0.41999998688697815,156.0,0.28,5
9.4,0.049,0.51,0.99548,6.3,35.0,3.16,7.6,0.5400000214576721,200.0,0.27,4
10.5,0.033,0.33,0.9922,7.9,20.0,3.12,1.2,0.3799999952316284,72.0,0.18,7
10.7,0.04,0.3,0.99222,7.3,26.0,3.28,1.3,0.5299999713897705,84.0,0.27,6
9.0,0.051,0.3,0.99835,6.6,33.0,3.04,14.9,0.5400000214576721,118.0,0.23,6
9.4,0.048,0.24,0.9957,7.0,31.0,3.23,6.2,0.6200000047683716,228.0,0.32,6
9.7,0.058,0.29,0.9978,7.0,45.0,3.15,16.4,0.3700000047683716,110.0,0.15,6
9.8,0.047,0.4,0.9932,7.1,54.0,3.3,1.2,0.9700000286102295,134.0,0.13,7
10.2,0.04,0.4,0.9923,8.6,20.0,2.94,1.1,0.3199999928474426,107.0,0.18,7
9.8,0.049,0.17,0.993,6.8,26.0,3.0,5.1,0.3799999952316284,82.0,0.17,6
10.8,0.033,0.38,0.9909,5.5,10.0,3.12,2.6,0.5899999737739563,69.0,0.315,6
10.8,0.047,0.31,0.993,7.7,33.0,3.22,1.3,0.550000011920929,106.0,0.24,6
10.7,0.063,0.35,0.99184,7.0,13.0,3.22,1.6,0.5,119.0,0.31,5
9.7,0.044,0.34,0.99526,6.6,63.0,3.22,7.7,0.47999998927116394,212.0,0.32,6
10.2,0.042,0.06,0.99432,5.6,9.0,3.44,6.8,0.4399999976158142,84.0,0.695,5
11.1,0.037,0.49,0.992,14.2,33.0,3.15,1.1,0.5400000214576721,156.0,0.27,6
9.8,0.152,0.71,0.9927,6.0,9.0,3.12,1.5,0.46000000834465027,55.0,0.19,6
11.9,0.028,0.33,0.98975,5.2,13.0,3.3,1.6,0.8399999737739563,59.0,0.155,8
9.2,0.056,0.64,0.9972,7.1,12.0,3.05,13.2,0.38999998569488525,105.0,0.33,5
10.6,0.069,0.4,0.9928,7.1,24.0,3.42,1.2,0.4300000071525574,156.0,0.21,6
10.1,0.037,0.3,0.992,5.1,28.0,3.54,0.9,0.5600000023841858,152.0,0.31,6
9.1,0.056,0.36,1.0,7.4,72.0,3.42,13.1,0.3499999940395355,163.0,0.18,6
9.7,0.05,0.46,0.99524,8.2,14.0,3.28,3.75,0.5799999833106995,102.0,0.25,5
11.7,0.03,0.3,0.9927,6.3,49.0,3.53,3.2,0.7900000214576721,164.0,0.41,7
9.5,0.056,0.34,0.99434,7.6,34.0,3.1,1.3,0.5099999904632568,176.0,0.25,5
9.6,0.054,0.44,0.9952,6.7,29.0,3.04,6.7,0.4399999976158142,160.0,0.31,5
11.3,0.04,0.32,0.99182,6.3,37.0,3.24,4.2,0.4300000071525574,117.0,0.17,6
9.2,0.042,0.13,0.996,6.9,11.0,3.23,7.8,0.3700000047683716,117.0,0.32,5
10.6,0.034,0.28,0.99246,7.2,26.0,3.28,1.4,0.5699999928474426,109.0,0.33,6
12.2,0.039,0.35,0.9918,7.0,24.0,3.17,1.5,0.6399999856948853,125.0,0.32,6
10.4,0.045,0.3,0.992,6.1,22.0,3.31,1.5,0.5400000214576721,61.0,0.24,5
10.0,0.048,0.23,0.99382,6.3,44.0,3.08,5.7,0.5400000214576721,147.0,0.17,5
9.3,0.046,0.3,0.99413,7.7,49.0,3.03,1.2,0.3799999952316284,199.0,0.18,5
9.0,0.05,0.16,0.9959,6.4,55.0,3.17,7.5,0.49000000953674316,191.0,0.3,5
9.5,0.061,0.72,0.993,6.5,7.0,3.09,1.1,0.5699999928474426,151.0,0.33,4
11.1,0.023,0.28,0.99062,8.1,49.0,2.92,0.9,0.36000001430511475,87.0,0.2,6
9.2,0.045,0.74,0.9956,6.4,52.0,3.21,7.8,0.41999998688697815,209.0,0.25,6
12.1,0.04,0.34,0.99111,6.5,29.0,3.28,3.6,0.47999998927116394,121.0,0.28,7
9.1,0.053,0.3,0.9986,7.4,48.5,3.14,12.8,0.49000000953674316,229.0,0.19,7
8.7,0.044,0.73,1.00013,8.7,27.0,2.96,14.35,0.8799999952316284,191.0,0.31,5
10.4,0.057,0.49,0.9928,8.2,15.0,3.07,0.9,0.3799999952316284,73.0,0.23,6
9.4,0.052,0.14,0.99475,6.2,27.0,3.21,4.8,0.47999998927116394,128.0,0.33,5
9.2,0.108,0.09,0.9938,7.2,16.0,3.07,1.5,0.5699999928474426,151.0,0.55,4
9.6,0.036,0.31,0.9979,6.7,44.0,3.26,15.7,0.5600000023841858,179.0,0.27,5
9.2,0.049,0.32,0.995,6.4,41.0,3.19,5.5,0.6800000071525574,176.0,0.25,6
11.2,0.037,0.24,0.99174,6.2,45.0,3.23,4.8,0.4300000071525574,138.0,0.39,7
8.7,0.045,0.68,0.9978,7.5,38.0,3.0,10.9,0.36000001430511475,133.0,0.21,5
10.5,0.047,0.33,0.9928,6.8,44.0,3.12,1.5,0.4399999976158142,167.0,0.26,6
12.7,0.03,0.26,0.99045,6.7,15.0,3.15,5.4,0.3799999952316284,94.0,0.24,6
11.0,0.039,0.35,0.9908,6.9,29.0,3.13,1.3,0.5199999809265137,191.0,0.25,6
9.8,0.052,0.31,0.9949,5.8,55.0,3.19,7.5,0.46000000834465027,230.0,0.31,5
10.8,0.054,0.32,0.9938,6.8,40.0,3.2,5.9,0.5699999928474426,152.0,0.22,6
10.8,0.028,0.39,0.994,6.9,22.0,3.11,8.0,0.6600000262260437,84.0,0.19,6
10.3,0.048,0.45,0.9944,8.3,8.0,3.08,1.3,0.6100000143051147,72.0,0.27,4
9.7,0.036,0.41,0.9947,8.5,24.0,3.18,4.3,0.5299999713897705,99.0,0.21,6
10.4,0.029,0.28,0.99347,6.9,14.0,3.24,4.4,0.46000000834465027,107.0,0.15,8
10.6,0.018,0.23,0.99178,6.2,18.0,3.05,1.2,0.2800000011920929,128.0,0.23,5
9.8,0.053,0.26,0.99699,7.4,55.0,3.11,11.8,0.6000000238418579,173.0,0.27,5
10.2,0.042,0.5,0.9937,7.4,35.0,3.45,1.8,0.5,127.0,0.29,7
10.1,0.043,0.35,0.99392,6.5,47.0,3.24,5.7,0.5,197.0,0.21,6
11.6,0.047,0.48,0.9914,7.4,17.0,3.19,1.1,0.49000000953674316,132.0,0.27,6
10.7,0.046,0.29,0.99462,6.0,29.0,3.48,6.1,0.5699999928474426,134.0,0.34,6
12.3,0.033,0.49,0.9936,8.0,39.0,3.13,9.0,0.3799999952316284,180.0,0.34,8
11.9,0.039,0.49,0.9934,8.4,46.0,3.03,7.4,0.33000001311302185,108.0,0.24,7
11.0,0.041,0.26,0.99142,7.0,31.0,3.2,1.7,0.5299999713897705,110.0,0.24,6
10.3,0.048,0.28,0.9949,7.1,50.0,3.13,9.3,0.49000000953674316,141.0,0.29,6
10.4,0.046,0.54,0.99454,6.2,58.0,3.19,7.0,0.699999988079071,176.0,0.25,5
12.4,0.036,0.26,0.9919,6.7,35.0,2.98,9.55,0.3700000047683716,91.0,0.38,6
10.2,0.053,0.0,0.99426,4.6,11.0,3.79,1.4,0.550000011920929,178.0,0.445,5
10.2,0.055,0.39,0.9951,7.0,39.0,3.52,2.1,0.5400000214576721,198.0,0.22,6
10.3,0.047,0.46,0.99709,7.6,33.0,3.03,14.7,0.5299999713897705,151.0,0.35,5
8.8,0.053,0.32,0.99414,6.0,26.0,3.38,1.1,0.5400000214576721,173.0,0.36,5
11.7,0.035,0.34,0.98993,5.8,40.0,3.5,1.0,0.41999998688697815,86.0,0.2,5
10.7,0.051,0.27,0.9941,5.9,43.0,3.25,9.0,0.5299999713897705,136.0,0.27,6
12.2,0.045,0.31,0.99226,6.8,34.0,3.06,7.4,0.550000011920929,143.0,0.33,6
10.2,0.041,0.32,0.9926,6.6,25.0,3.39,0.9,0.5400000214576721,79.0,0.23,7
11.5,0.043,0.38,0.9934,7.9,46.0,3.12,8.0,0.3199999928474426,152.0,0.22,7
10.9,0.034,0.31,0.99218,6.1,42.0,3.24,3.9,0.46000000834465027,137.0,0.27,6
10.2,0.046,0.44,0.9944,8.2,7.0,3.14,1.3,0.6200000047683716,69.0,0.26,4
9.0,0.058,0.39,0.9979,7.2,49.0,2.98,14.2,0.47999998927116394,192.0,0.23,7
11.2,0.043,0.44,0.9907,6.4,67.0,3.14,1.2,0.7300000190734863,150.0,0.15,7
9.3,0.049,0.26,0.9984,6.8,55.0,3.15,16.1,0.5,196.0,0.27,5
11.7,0.029,0.44,0.9913,5.8,5.0,3.53,3.5,0.4300000071525574,109.0,0.24,3
11.8,0.044,0.32,0.99108,6.0,13.0,3.39,3.8,0.4399999976158142,116.0,0.34,7
10.4,0.036,0.36,0.99202,5.8,11.0,3.43,1.3,0.6800000071525574,70.0,0.17,7
10.3,0.038,0.27,0.9927,7.2,31.0,3.15,1.4,0.46000000834465027,122.0,0.24,6
13.4,0.032,0.24,0.98934,6.2,19.0,3.04,6.1,0.25999999046325684,86.0,0.37,8
10.5,0.032,0.27,0.99254,6.7,39.0,3.4,1.4,0.5199999809265137,149.0,0.17,5
11.4,0.048,0.37,0.9917,6.5,70.0,3.33,2.5,0.75,138.0,0.21,7
8.8,0.053,0.44,1.0006,8.1,43.0,3.28,14.1,0.75,145.0,0.17,8
9.4,0.08,0.17,0.99803,6.3,50.0,3.47,8.8,0.6600000262260437,212.0,0.38,4
9.4,0.048,0.32,0.9967,7.1,36.0,2.92,12.2,0.5400000214576721,125.0,0.18,6
8.9,0.056,0.3,0.999,7.6,53.0,3.14,14.2,0.46000000834465027,212.5,0.2,8
12.5,0.029,0.25,0.98972,5.5,33.0,3.36,1.9,0.6600000262260437,118.0,0.3,6
10.7,0.047,0.4,0.9937,7.4,22.0,3.28,1.6,0.4399999976158142,102.0,0.18,5
9.9,0.047,0.27,0.99596,6.4,26.0,3.34,9.9,0.5,101.0,0.17,6
9.2,0.176,0.69,0.99288,6.7,36.0,2.96,1.2,0.4300000071525574,106.0,0.27,6
9.8,0.15,0.71,0.9927,6.0,10.0,3.12,1.6,0.4699999988079071,54.0,0.2,5
9.4,0.053,0.41,0.99886,7.4,37.0,3.2,14.1,0.6299999952316284,194.0,0.4,6
8.9,0.05,0.36,0.9986,7.3,35.0,3.04,13.1,0.46000000834465027,200.0,0.25,7
8.9,0.043,0.4,0.9996,6.9,36.0,2.93,19.45,0.4699999988079071,156.0,0.29,5
10.5,0.047,0.37,0.9938,6.8,46.0,3.08,5.1,0.6499999761581421,201.0,0.44,4
11.3,0.035,0.27,0.99138,7.3,39.0,3.04,2.6,0.5899999737739563,120.0,0.23,7
8.9,0.048,0.35,0.9975,6.1,63.0,3.08,12.8,0.4000000059604645,229.0,0.28,5
10.8,0.027,0.26,0.99268,6.3,36.0,3.53,1.6,0.5600000023841858,141.0,0.2,6
12.2,0.026,0.23,0.99168,5.3,26.0,3.18,9.65,0.5299999713897705,119.0,0.32,6
11.7,0.03,0.3,0.9927,6.3,49.0,3.53,3.2,0.7900000214576721,164.0,0.41,7
10.8,0.03,0.36,0.99201,5.9,12.0,3.22,2.5,0.47999998927116394,73.0,0.44,6
9.9,0.048,0.27,0.99498,6.1,41.0,3.21,8.0,0.5099999904632568,162.0,0.28,5
10.4,0.03,0.35,0.99255,8.1,38.0,3.22,1.7,0.6299999952316284,103.0,0.27,8
11.3,0.044,0.29,0.9918,7.3,12.0,3.2,1.2,0.47999998927116394,143.0,0.18,7
9.5,0.058,0.46,0.996,9.2,39.0,3.14,3.2,0.5799999833106995,133.0,0.28,5
11.1,0.059,0.34,0.9963,6.9,36.0,3.46,7.4,0.6200000047683716,174.0,0.31,7
10.2,0.044,0.28,0.9948,8.0,31.0,3.16,5.7,0.5099999904632568,124.0,0.3,6
11.0,0.039,0.29,0.9952,6.2,49.0,3.33,13.3,0.46000000834465027,130.0,0.24,8
9.0,0.051,0.42,0.9932,6.0,61.0,3.02,1.1,0.4000000059604645,197.0,0.45,5
8.7,0.044,0.63,0.9974,7.2,55.0,3.09,11.0,0.4399999976158142,156.0,0.39,6
9.0,0.058,0.39,0.9979,7.2,49.0,2.98,14.2,0.47999998927116394,192.0,0.23,7
11.1,0.054,0.32,0.99154,7.2,24.0,3.17,1.5,0.47999998927116394,105.0,0.25,6
9.5,0.046,0.2,0.99582,7.2,51.0,3.16,7.7,0.5199999809265137,174.0,0.29,5
9.2,0.05,0.34,0.9985,7.1,51.0,3.21,16.0,0.6000000238418579,166.0,0.2,6
10.1,0.048,0.33,0.99472,6.7,45.0,3.11,8.1,0.5199999809265137,176.0,0.23,6
10.4,0.061,0.38,0.99192,7.2,12.0,3.18,1.5,0.46000000834465027,120.0,0.26,5
10.4,0.037,0.28,0.9919,6.4,12.0,3.32,1.5,0.5099999904632568,119.0,0.31,7
10.4,0.05,0.31,0.99596,7.0,29.0,3.28,8.0,0.5699999928474426,213.0,0.2,6
12.8,0.027,0.37,0.98939,6.7,42.0,3.24,1.3,0.3700000047683716,125.0,0.18,7
11.3,0.037,0.3,0.9909,5.8,55.0,3.29,1.4,0.3799999952316284,130.0,0.17,6
12.5,0.036,0.3,0.99028,6.5,34.0,3.25,3.8,0.6299999952316284,88.0,0.33,7
9.0,0.06,0.24,0.9951,6.0,23.0,3.25,5.4,0.4399999976158142,126.0,0.34,7
10.4,0.04,0.27,0.9932,7.8,25.0,3.01,1.2,0.550000011920929,106.0,0.34,5
12.7,0.04,0.33,0.98934,6.0,15.0,3.29,4.35,0.5,80.0,0.26,6
11.8,0.034,0.49,0.9958,7.6,37.0,3.14,14.0,0.3799999952316284,156.0,0.52,7
10.0,0.047,0.17,0.9932,6.5,5.0,3.26,1.4,0.3199999928474426,26.0,0.52,4
10.2,0.036,0.5,0.9964,6.9,78.0,3.15,10.0,0.550000011920929,167.0,0.2,6
10.3,0.044,0.3,0.99666,6.0,15.0,3.12,14.7,0.5299999713897705,144.0,0.27,6
12.3,0.032,0.31,0.99166,7.1,36.0,3.35,5.2,0.4699999988079071,140.0,0.34,7
12.0,0.032,1.0,0.99742,7.7,42.0,3.29,19.95,0.5,164.0,0.43,6
12.6,0.035,0.28,0.98959,5.9,16.0,3.26,3.2,0.41999998688697815,117.0,0.29,6
12.3,0.034,0.3,0.9912,7.1,30.0,3.08,3.3,0.3100000023841858,102.0,0.33,7
10.2,0.044,0.41,0.99742,6.8,79.5,3.24,12.9,0.7799999713897705,183.0,0.15,6
11.4,0.043,0.28,0.99033,5.9,45.0,3.4,1.0,0.4099999964237213,100.0,0.2,6
10.7,0.035,0.29,0.99142,6.4,44.0,3.17,1.1,0.550000011920929,140.0,0.105,7
9.4,0.108,0.28,0.99738,7.2,43.0,2.96,10.4,0.5699999928474426,187.0,0.34,5
10.4,0.044,0.19,0.99209,5.5,39.0,3.19,2.2,0.4300000071525574,161.0,0.23,6
11.2,0.055,0.49,0.9917,7.4,18.0,3.23,1.2,0.4699999988079071,150.0,0.16,6
9.6,0.039,0.32,0.9948,6.8,10.0,3.3,1.6,0.6700000166893005,124.0,0.36,5
10.5,0.04,0.54,0.9938,9.6,16.0,2.94,1.3,0.4300000071525574,160.0,0.25,5
9.5,0.038,0.31,0.9969,7.7,59.0,3.12,10.7,0.550000011920929,186.0,0.23,6
9.3,0.039,0.26,0.99478,5.8,19.0,3.36,5.1,0.4699999988079071,103.0,0.13,6
9.3,0.04,0.4,0.9953,6.4,46.0,3.15,6.2,0.46000000834465027,169.0,0.31,6
12.5,0.034,0.28,0.99151,6.7,29.0,2.96,8.3,0.38999998569488525,81.0,0.36,6
11.0,0.036,0.42,0.9908,6.4,29.0,3.18,1.0,0.5199999809265137,113.0,0.16,6
9.8,0.035,0.34,0.99232,8.1,11.0,3.14,1.3,0.5,126.0,0.28,6
9.0,0.05,0.34,0.9983,7.3,38.0,3.03,15.4,0.41999998688697815,174.0,0.24,6
9.2,0.036,0.4,0.9956,9.8,35.0,2.97,2.8,0.38999998569488525,167.0,0.44,5
8.7,0.046,0.41,0.9998,7.1,39.0,3.32,17.8,0.38999998569488525,145.0,0.24,5
12.6,0.034,0.22,0.9898,6.1,32.0,3.36,1.8,0.4399999976158142,116.0,0.28,6
11.6,0.038,0.42,0.99132,6.2,34.0,3.36,2.5,0.5899999737739563,117.0,0.38,7
10.5,0.05,0.37,0.99546,7.5,21.0,3.2,6.2,0.550000011920929,138.0,0.18,6
11.4,0.042,0.4,0.99177,7.1,54.0,3.03,2.2,0.5,201.0,0.38,5
8.7,0.059,0.25,0.99769,6.2,33.0,3.14,12.1,0.5600000023841858,171.0,0.34,6
11.633333,0.026,0.31,0.9898,5.5,31.0,3.33,1.2,0.4399999976158142,68.0,0.16,6
9.8,0.053,0.28,0.9981,8.0,83.0,3.14,14.0,0.44999998807907104,197.0,0.22,6
9.2,0.048,0.37,0.9995,7.4,43.0,3.03,16.95,0.41999998688697815,190.0,0.2,6
12.5,0.025,0.13,0.9913,5.7,28.0,3.33,7.0,0.47999998927116394,173.0,0.44,6
9.2,0.043,0.03,0.9932,5.3,27.0,3.34,2.7,0.3799999952316284,93.0,0.76,5
